dataset,model,method,condition,value,significance_marker
MIMIC-Unlearn,LLaMA-3.2-1B,WGA,paraphrased,0.184626±0.332178,
MIMIC-Unlearn,LLaMA-3.2-1B,PDU,paraphrased,0.124047±0.157615,
MIMIC-Unlearn,LLaMA-3.2-1B,MEDCU,paraphrased,46.213487±0.363318,*
MIMIC-Unlearn,LLaMA-3.1-8B,GD,original,1.542722±0.024849,
MIMIC-Unlearn,LLaMA-3.1-8B,NPO,original,4.885709±0.433906,
MIMIC-Unlearn,LLaMA-3.1-8B,DPO,original,0.518255±0.407388,
MIMIC-Unlearn,LLaMA-3.1-8B,RMU,original,33.216192±0.070696,
MIMIC-Unlearn,LLaMA-3.1-8B,WGA,original,30.501168±0.267145,
MIMIC-Unlearn,LLaMA-3.1-8B,PDU,original,0.015697±0.042821,
MIMIC-Unlearn,LLaMA-3.1-8B,MEDCU,original,41.437153±0.104422,
MIMIC-Unlearn,LLaMA-3.1-8B,GD,paraphrased,1.935912±0.020419,
MIMIC-Unlearn,LLaMA-3.1-8B,NPO,paraphrased,4.322352±0.262945,
MIMIC-Unlearn,LLaMA-3.1-8B,DPO,paraphrased,0.492013±0.481826,
MIMIC-Unlearn,LLaMA-3.1-8B,RMU,paraphrased,30.62981±0.210251,
MIMIC-Unlearn,LLaMA-3.1-8B,WGA,paraphrased,27.762755±0.397467,
MIMIC-Unlearn,LLaMA-3.1-8B,PDU,paraphrased,-0.0157±0.041202,
MIMIC-Unlearn,LLaMA-3.1-8B,MEDCU,paraphrased,37.796888±0.356836,*
MIMIC-Unlearn,Qwen2.5-3B,GD,original,0.968044±0.221469,
MIMIC-Unlearn,Qwen2.5-3B,NPO,original,0.418796±0.09967,
MIMIC-Unlearn,Qwen2.5-3B,DPO,original,0.276234±0.361944,
MIMIC-Unlearn,Qwen2.5-3B,RMU,original,-0.315762±0.395647,
MIMIC-Unlearn,Qwen2.5-3B,WGA,original,-0.060083±0.109517,
MIMIC-Unlearn,Qwen2.5-3B,PDU,original,0.050752±0.027709,
MIMIC-Unlearn,Qwen2.5-3B,MEDCU,original,37.674964±0.186467,
MIMIC-Unlearn,Qwen2.5-3B,GD,paraphrased,0.729803±0.248627,
MIMIC-Unlearn,Qwen2.5-3B,NPO,paraphrased,0.297546±0.162947,
MIMIC-Unlearn,Qwen2.5-3B,DPO,paraphrased,-0.205282±0.227916,
MIMIC-Unlearn,Qwen2.5-3B,RMU,paraphrased,-0.192273±0.168903,
MIMIC-Unlearn,Qwen2.5-3B,WGA,paraphrased,0.116349±0.122629,
MIMIC-Unlearn,Qwen2.5-3B,PDU,paraphrased,0.092736±0.079748,
MIMIC-Unlearn,Qwen2.5-3B,MEDCU,paraphrased,36.248376±0.061586,*
MIMIC-Unlearn,Qwen2.5-7B,GD,original,14.363434±0.052989,
MIMIC-Unlearn,Qwen2.5-7B,NPO,original,1.301263±0.127181,
MIMIC-Unlearn,Qwen2.5-7B,DPO,original,1.050033±0.975769,
MIMIC-Unlearn,Qwen2.5-7B,RMU,original,-0.299828±0.279607,
MIMIC-Unlearn,Qwen2.5-7B,WGA,original,1.107547±0.193832,
MIMIC-Unlearn,Qwen2.5-7B,PDU,original,-0.097559±0.088311,
MIMIC-Unlearn,Qwen2.5-7B,MEDCU,original,37.071578±0.263714,
MIMIC-Unlearn,Qwen2.5-7B,GD,paraphrased,13.085726±0.105975,
MIMIC-Unlearn,Qwen2.5-7B,NPO,paraphrased,0.849617±0.361498,
MIMIC-Unlearn,Qwen2.5-7B,DPO,paraphrased,0.439379±0.31577,
MIMIC-Unlearn,Qwen2.5-7B,RMU,paraphrased,-0.435489±0.153382,
MIMIC-Unlearn,Qwen2.5-7B,WGA,paraphrased,0.684615±0.198772,
MIMIC-Unlearn,Qwen2.5-7B,PDU,paraphrased,-0.116582±0.128132,
MIMIC-Unlearn,Qwen2.5-7B,MEDCU,paraphrased,34.956948±0.060374,*
