setting,forget_token_overlap_with_retain_basis
independent,0.5533760190010071
independent,0.5731624960899353
independent,0.6358632445335388
independent,0.6419641375541687
independent,0.6340250372886658
independent,0.6518741846084595
independent,0.5882179737091064
independent,0.5069780945777893
independent,0.5886834263801575
independent,0.6082265377044678
independent,0.5838848948478699
independent,0.5860158801078796
independent,0.6850824356079102
independent,0.5606754422187805
independent,0.6349910497665405
independent,0.5968769788742065
independent,0.6355887055397034
independent,0.6149331331253052
independent,0.5350357890129089
independent,0.5879577398300171
independent,0.5850256681442261
independent,0.5971986651420593
independent,0.5697643756866455
independent,0.634198784828186
independent,0.6290366649627686
independent,0.547252893447876
independent,0.5976138710975647
independent,0.6129311323165894
independent,0.6381586194038391
independent,0.5789387822151184
independent,0.5142654776573181
independent,0.5520755648612976
independent,0.5072652101516724
independent,0.6842769384384155
independent,0.5416642427444458
independent,0.6105736494064331
independent,0.6216225624084473
independent,0.5908182859420776
independent,0.5890741944313049
independent,0.5602148175239563
independent,0.6271829009056091
independent,0.5463199615478516
independent,0.6342836022377014
independent,0.5321271419525146
independent,0.5680980086326599
independent,0.5620115995407104
independent,0.6029312014579773
independent,0.508841335773468
independent,0.5261605381965637
independent,0.4954863488674164
independent,0.6132035851478577
independent,0.618183434009552
independent,0.5924901366233826
independent,0.5875972509384155
independent,0.6056562662124634
independent,0.6384375691413879
independent,0.5530234575271606
independent,0.5750832557678223
independent,0.5376883149147034
independent,0.6407216191291809
independent,0.5185462832450867
independent,0.6779076457023621
independent,0.5670956969261169
independent,0.6338110566139221
independent,0.6327993273735046
independent,0.45194828510284424
independent,0.5655757784843445
independent,0.5869368314743042
independent,0.5249242186546326
independent,0.6147218346595764
independent,0.554094135761261
independent,0.5552524924278259
independent,0.5495600700378418
independent,0.6057118773460388
independent,0.6476650238037109
independent,0.5876672863960266
independent,0.5974471569061279
independent,0.668889045715332
independent,0.5829408168792725
independent,0.5471784472465515
independent,0.572837233543396
independent,0.5694425106048584
independent,0.6109949350357056
independent,0.5707743167877197
independent,0.5360370874404907
independent,0.5289120674133301
independent,0.6980964541435242
independent,0.5077332854270935
independent,0.505382776260376
independent,0.6103593111038208
independent,0.6112856268882751
independent,0.6227781176567078
independent,0.6469370126724243
independent,0.5589143633842468
independent,0.6015863418579102
independent,0.6108093857765198
independent,0.6333319544792175
independent,0.6378882527351379
independent,0.5831657648086548
independent,0.6216006875038147
independent,0.606885552406311
independent,0.5666458606719971
independent,0.661051869392395
independent,0.5730097889900208
independent,0.5536009073257446
independent,0.5095829963684082
independent,0.5807890892028809
independent,0.5381487011909485
independent,0.6100329160690308
independent,0.6438422799110413
independent,0.5965612530708313
independent,0.586073100566864
independent,0.6130605936050415
independent,0.589843213558197
independent,0.5386568903923035
independent,0.627499520778656
independent,0.5467115044593811
independent,0.6463778614997864
independent,0.6101225018501282
independent,0.5535030961036682
independent,0.5004982948303223
independent,0.6591705679893494
independent,0.6628289222717285
independent,0.6056541204452515
independent,0.6157413721084595
independent,0.5700005888938904
independent,0.38833555579185486
independent,0.5637258887290955
independent,0.6086795330047607
independent,0.4972698986530304
independent,0.6149187088012695
independent,0.541349470615387
independent,0.5440079569816589
independent,0.6325138211250305
independent,0.6147514581680298
independent,0.6145367622375488
independent,0.49799370765686035
independent,0.7112938761711121
independent,0.6506535410881042
independent,0.6258134841918945
independent,0.5160884857177734
independent,0.5565552115440369
independent,0.6272812485694885
independent,0.6038132309913635
independent,0.5596798062324524
independent,0.5424972772598267
independent,0.6373236775398254
independent,0.6522133350372314
independent,0.5692621469497681
independent,0.676448404788971
independent,0.5415160655975342
independent,0.5949519276618958
independent,0.5374624133110046
independent,0.5607175230979919
independent,0.5952275395393372
independent,0.5255930423736572
independent,0.5381937026977539
independent,0.6707163453102112
independent,0.5672390460968018
independent,0.6030899286270142
independent,0.4890250563621521
independent,0.5759766697883606
independent,0.5490697622299194
independent,0.5873937606811523
independent,0.6458593010902405
independent,0.5362352728843689
independent,0.550899088382721
independent,0.6445761919021606
independent,0.49611762166023254
independent,0.5223029851913452
independent,0.5140687227249146
independent,0.6176609992980957
independent,0.5372803807258606
independent,0.6046927571296692
independent,0.6149227619171143
independent,0.6167884469032288
independent,0.6915798187255859
independent,0.6506119966506958
independent,0.568947434425354
independent,0.5325002670288086
independent,0.5717828869819641
independent,0.5631564855575562
independent,0.6961673498153687
independent,0.6049947738647461
independent,0.47476819157600403
independent,0.6360310316085815
independent,0.5378239154815674
independent,0.4763370454311371
independent,0.5909804105758667
independent,0.6034097075462341
independent,0.5765211582183838
independent,0.5803475975990295
independent,0.6091086268424988
independent,0.6327439546585083
independent,0.6425263285636902
independent,0.5457163453102112
independent,0.5877396464347839
independent,0.6050764322280884
independent,0.5513964295387268
independent,0.5508673191070557
independent,0.5843474864959717
independent,0.5986554026603699
independent,0.5251823663711548
independent,0.6426994800567627
independent,0.5108718276023865
independent,0.5472730994224548
independent,0.5461260080337524
independent,0.501112699508667
independent,0.5636405944824219
independent,0.6075960397720337
independent,0.6415035128593445
independent,0.5954222083091736
independent,0.5856937170028687
independent,0.5756005048751831
independent,0.619469404220581
independent,0.5795612931251526
independent,0.5910365581512451
independent,0.5697818994522095
independent,0.5543577671051025
independent,0.5539125800132751
independent,0.6567754745483398
independent,0.5845722556114197
independent,0.5139358043670654
independent,0.6024972200393677
independent,0.5904984474182129
independent,0.5857177972793579
independent,0.5987856388092041
independent,0.5764201879501343
independent,0.6274247765541077
independent,0.6018849015235901
independent,0.5439288020133972
independent,0.5909872055053711
independent,0.5299257636070251
independent,0.5704206228256226
independent,0.5934590697288513
independent,0.6081880927085876
independent,0.6368476748466492
independent,0.5708341002464294
independent,0.5755325555801392
independent,0.5225216746330261
independent,0.5604913234710693
independent,0.6034073829650879
independent,0.5326437950134277
independent,0.581173300743103
independent,0.6023061871528625
independent,0.6119655966758728
independent,0.5699409246444702
independent,0.5484071373939514
independent,0.5273009538650513
independent,0.5162034630775452
independent,0.5957944393157959
independent,0.6079204678535461
independent,0.7042728066444397
independent,0.5802631378173828
independent,0.6468382477760315
independent,0.6447217464447021
independent,0.6225594282150269
independent,0.5269463658332825
independent,0.5260219573974609
independent,0.6143134236335754
independent,0.5699226260185242
independent,0.5365052819252014
independent,0.6395389437675476
independent,0.6192023754119873
independent,0.6398321986198425
independent,0.6129341721534729
independent,0.5666754841804504
independent,0.6188296675682068
independent,0.6114867925643921
independent,0.5349692106246948
independent,0.48146021366119385
independent,0.5548537969589233
independent,0.5336639285087585
independent,0.6443927884101868
independent,0.5763961672782898
independent,0.6390876770019531
independent,0.6201773285865784
independent,0.5875799059867859
independent,0.5780435800552368
independent,0.6428521275520325
independent,0.5664128661155701
independent,0.6493638753890991
independent,0.5856180191040039
independent,0.6211652755737305
independent,0.6912125945091248
independent,0.511671781539917
independent,0.5281692147254944
independent,0.6361324787139893
independent,0.5409688949584961
independent,0.6048951148986816
independent,0.5490705370903015
independent,0.5684054493904114
independent,0.6241271495819092
independent,0.5473341345787048
independent,0.5635742545127869
independent,0.5548031330108643
independent,0.5786910057067871
independent,0.5414502024650574
independent,0.5613676905632019
independent,0.6020671725273132
independent,0.5673900246620178
independent,0.6708723902702332
independent,0.5423234701156616
independent,0.6514022946357727
independent,0.5792136192321777
independent,0.5960766673088074
independent,0.5549465417861938
independent,0.5965063571929932
independent,0.5241042971611023
independent,0.5560657382011414
independent,0.6211059093475342
independent,0.5842254161834717
independent,0.6388362050056458
independent,0.6080650091171265
independent,0.5076996684074402
independent,0.6541758179664612
independent,0.6135124564170837
independent,0.5487343668937683
independent,0.5736449360847473
independent,0.5823458433151245
independent,0.6229629516601562
independent,0.6614997386932373
independent,0.6015527844429016
independent,0.6700649261474609
independent,0.5773061513900757
independent,0.5704275965690613
independent,0.5915331840515137
independent,0.5918062925338745
independent,0.5700684785842896
independent,0.6448260545730591
independent,0.6165143847465515
independent,0.6876146197319031
independent,0.5862240195274353
independent,0.5980590581893921
independent,0.5649518370628357
independent,0.525596022605896
independent,0.5749472975730896
independent,0.590766966342926
independent,0.5698900818824768
independent,0.640092670917511
independent,0.6742275357246399
independent,0.60887211561203
independent,0.627152681350708
independent,0.5739812850952148
independent,0.6397082209587097
independent,0.5757507085800171
independent,0.5677491426467896
independent,0.5768201351165771
independent,0.6061419248580933
independent,0.5479544401168823
independent,0.6586804986000061
independent,0.6350716352462769
independent,0.6164848804473877
independent,0.6065808534622192
independent,0.5956142544746399
independent,0.6420079469680786
independent,0.5685127377510071
independent,0.6698224544525146
independent,0.6205225586891174
independent,0.5388545393943787
independent,0.5153294801712036
independent,0.5570486187934875
independent,0.625399112701416
independent,0.5992791056632996
independent,0.6546390652656555
independent,0.520998477935791
independent,0.5755625367164612
independent,0.5294520854949951
independent,0.5456385612487793
independent,0.6299648880958557
independent,0.5815378427505493
independent,0.5972864031791687
independent,0.545635998249054
independent,0.6309710144996643
independent,0.5976545214653015
independent,0.6553922891616821
independent,0.6033912301063538
independent,0.6053259968757629
independent,0.5836515426635742
independent,0.5629190802574158
independent,0.6299535036087036
independent,0.6160755157470703
independent,0.5862491726875305
independent,0.5533958077430725
independent,0.5784900188446045
independent,0.5839160680770874
independent,0.522109866142273
independent,0.5930750370025635
independent,0.5819637179374695
independent,0.5579035878181458
independent,0.5510753989219666
independent,0.5465813279151917
independent,0.5533739328384399
independent,0.5885775685310364
independent,0.5500380396842957
independent,0.6020241379737854
independent,0.5797940492630005
independent,0.509396493434906
independent,0.5289090871810913
independent,0.5618981719017029
independent,0.5838369727134705
independent,0.5470938682556152
independent,0.5566434264183044
independent,0.5408316850662231
independent,0.6286330819129944
independent,0.5800279378890991
independent,0.6052578687667847
independent,0.5884324312210083
independent,0.6174994111061096
independent,0.6062411069869995
independent,0.5817091464996338
independent,0.5818864107131958
independent,0.632397472858429
independent,0.6092756986618042
